Sample ID,Phylum,Class,Order,Family,Genus,species,Identifier,Plate ID,Station ID,#Barcode,18S,Depths,Salinity,CoordinatesLat,CoordinatesLong
D09,Sipuncula,,,,,,JNorenburg,FG01,19,199440824,YES,0,38,9.469556,79.725027
E09,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,pallida,JNorenburg,FG01,18E,199440807,YES,0.8,38,9.539919,79.675449
F09,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,pallida,JNorenburg,FG01,18E,199440800,YES,0.8,38,9.539919,79.675449
G09,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,pallida,JNorenburg,FG01,18E,199440783,YES,0.8,38,9.539919,79.675449
H09,Nemertea,Enopla,Monostilifera,,Prostomatella?,sp,JNorenburg,FG01,22B,199440776,YES,12,38,7.629492,79.995921
A10,Nemertea,Palaeonemertea ,,Cephalotrichidae,Cephalothrix,"""interstitial""",JNorenburg,FG01,22B,199440854,YES,12,38,7.629492,79.995921
B10,Platyhelminthes,Rhabditophora ,Polycladida,,,,TArtois,FG01,23S,199440849,YES,10,38,7.63423,79.997292
C10,Nemertea,Paleonemertea,,Tubulanidae,Carinomella?,sp,JNorenburg,FG01,23S,199440830,YES,10,38,7.63423,79.997292
D10,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440825,YES,6,38,7.629548,79.997056
E10,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440806,YES,6,38,7.629548,79.997056
F10,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440801,YES,6,38,7.629548,79.997056
G10,Nemertea,Enopla,Monostilifera ,Amphiporidae,Zygonemertes,sp,JNorenburg,FG01,7,199440782,YES,0,38,7.414615,80.173701
H10,Nemertea,Palaeonemertea ,,Cephalotrichidae,Cephalothrix,alba,JNorenburg,FG01,22S,199440777,YES,6,38,7.629548,79.997056
A11,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440853,YES,6,38,7.629548,79.997056
B11,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440850,YES,6,38,7.629548,79.997056
C11,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,sp,JNorenburg,FG01,22S,199440829,YES,6,38,7.629548,79.997056
D11,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,macintoshi,JNorenburg,FG01,22S,199440826,YES,6,38,7.629548,79.997056
E11,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440805,YES,6,38,7.629548,79.997056
F11,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440802,YES,6,38,7.629548,79.997056
G11,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440781,YES,6,38,7.629548,79.997056
H11,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440778,YES,6,38,7.629548,79.997056
A12,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440852,YES,6,38,7.629548,79.997056
B12,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440851,YES,6,38,7.629548,79.997056
C12,Nemertea,Paleonemertea,,Cephalotrichidae,Cephalothrix,"""interstitial""",JNorenburg,FG01,1A,199440828,YES,0,38,7.413194,80.173649
D12,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440827,YES,6,38,7.629548,79.997056
E12,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440804,YES,6,38,7.629548,79.997056
F12,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440803,YES,6,38,7.629548,79.997056
G12,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440780,YES,6,38,7.629548,79.997056
H12,Nemertea,Enopla,Monostilifera ,Ototyphlonemertidae,Ototyphlonemertes,erneba,JNorenburg,FG01,22S,199440779,YES,6,38,7.629548,79.997056
G02,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty
