Well,Field ID,Collection Date,Exact Site,Collection Method,Latitude,Longitude,Depth,Country/Ocean,State/Province,Region,Sector,Collection Notes,Site Code
A11,JLN1352 Posterior Stn 1,01/14/10,Carry Bow Cay Reef,Collected with divers,16.802,88.079,10,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-1
B11,JLN1353 Posterior Stn 20,01/23/10,Carry Bow Cay Reef,Collected with divers,16.802,88.077,42,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-20
C11,JLN1343? Stn 15,01/22/10,Carry Bow Cay Reef,Collected with divers,16.802,88.077,31,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-15
D11,JLN1335 Stn 15,01/22/10,Carry Bow Cay Reef,Collected with divers,16.802,88.077,31,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-15
E11,JLN1354 Posterior third Stn 15,01/22/10,Carry Bow Cay Reef,Collected with divers,16.802,88.077,31,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-15
F11,JLN1355 Stn 19,01/23/10,Carry Bow Cay Reef,Collected with divers,16.802,88.077,15,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-19
G11,JLN1357 Stn 15,01/22/10,Carry Bow Cay Reef,Collected with divers,16.802,88.077,31,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-15
H11,JLN1347 Stn 15,01/22/10,Carry Bow Cay Reef,Collected with divers,16.802,88.077,31,North America/Atlantic Ocean,Belize,Belize,Carry Bow Cay,Collected with divers,CBC2010-15
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
