FeatureID	Taxon	Confidence
0057e2edfa567351a0f865ed7c1486f3	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;__;__	0.933544192087633
005800df768fcae2099089e56274de54	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;__;__	0.993266896816566
005a9092c854370804331aa261ea7ce2	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;__;__	0.976291682369537
005ab0131236a745f03a0b7203d0bc02	k__Bacteria;__;__;__;__;__;__	0.999473801841186
005cc3a8262714f222d19c2fed204c32	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__HTCC2188;__;__	0.99989010395944
005daa02c430a60dee41d5fd57133621	k__Bacteria;p__Bacteroidetes;__;__;__;__;__	0.963707555521715
005f242c435fc6a62b2476512eac3e70	k__Bacteria;__;__;__;__;__;__	0.999711191858261
006009e87f4488596067507c83b4f9c6	k__Bacteria;p__Planctomycetes;c__OM190;o__agg27;__;__;__	0.999080788817589
00614dc1372aa7430c1f34b95d8f528a	k__Bacteria;__;__;__;__;__;__	0.980913037016826
006326ab56f13dbfe1bcd98d98fffa5d	k__Bacteria;p__Planctomycetes;c__Pla3;__;__;__;__	0.998617893152551
006349fe2b3e7706e948dfd43538a771	k__Bacteria;__;__;__;__;__;__	0.999901464913638
00655263b87b9b449244a780c0f1e5ed	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__ntu14;__;__	0.999999901203869
0067c6bb17ba1dffcf869e1caae6f586	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__baltica;	0.740324722631657
00685a355a1ba86830fb6f6311be39bb	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__;__	0.999863457148182
0068e8f19ad8b5c8e4537486e2a062e4	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;__;__;__	0.88426485663165
006a5aa04a5439183bd97257135ebfab	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__[Marinicellales];f__[Marinicellaceae];__;__	0.971307538549091
006b9b62dfda83b0adad7accdaeb38e0	k__Bacteria;p__SBR1093;c__EC214;__;__;__;__	0.999975764071691
006c76ffa3b1b30e8a3a217393c8cd75	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinomonas;__	0.850943248169154
007407d171282ba11883460d2ab5d333	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;__;__	0.986208913080089
007fa296f95773a3776dcfed23be99e2	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__J115;__;__	0.98864017072235
008182b144fd4f8929af2560a6da0fc0	k__Bacteria;p__Bacteroidetes;__;__;__;__;__	0.940988592656915
008299e6a904a95e68cdf445fa4f1134	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;__;__	0.809733931456424
0082a8da108f8691811d116b8851f9a8	k__Bacteria;__;__;__;__;__;__	0.99915250035253
0084978b751b497159bf287721c43ab2	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Salinisphaerales;f__Salinisphaeraceae;g__Salinisphaera;__	0.999861196953971
00869f406fbeb967e18d308f59ea7d48	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__C86;__;__;__	0.999987368775061
0087eca808c5209a15216c7d4efdbb85	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;__	0.992914654651796
0088c02bfcae72ee09d9821763c1299f	k__Bacteria;__;__;__;__;__;__	0.94901551028486
008b1fd219f1f00cee0773cf1d4f4f90	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Spongiibacter;__	0.782939187703238
008c2464c85fd2159a4973f42160cf6a	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Reichenbachiella;__	0.951775117207935
008d10c1fdb7e75331a55069a7a11efb	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__;__	0.81442450696143
008d3490ae4986c887438b14f449fb49	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;__;__;__	0.935536446040429
008fef4cc2f5e4445211b93df9cfbcdf	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;__;__	0.99915135747944
009063ca7db60301a7e9bdcce58550ad	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;__	0.716944588144422
00919ff7b65ac847aec62294ac385c4f	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__;__	0.784470691182301
